chr	start	end	A549-control	A549-nutlin	GM12878-control	GM12878-nutlin	HCT116-control	HCT116-nutlin	HEK293-control	HEK293-nutlin	HeLa-control	HeLa-nutlin	HepG2-control	HepG2-nutlin	IMR90-control	IMR90-nutlin	MCF7-control	MCF7-nutlin	SKNSH-control	SKNSH-nutlin	U2OS-control	U2OS-nutlin	gene	sym
chr1	2391828	2391830	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000157916	RER1
chr1	12230030	12230032	A	A	A	A	A	A	A	A	B	B	A	A	B	B	A	A	A	A	A	A	ENSG00000048707	VPS13D
chr1	19664875	19664877	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000158748	HTR6
chr1	3454665	3454667	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	B	B	A	A	ENSG00000130762	ARHGEF16
chr1	9997206	9997208	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000162444	RBP7
chr1	22428838	22428840	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000184677	ZBTB40
chr1	19597067	19597069	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000270136	MICOS10-NBL1
chr1	11654375	11654377	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000132879	FBXO44
chr1	13700198	13700200	B	B	A	A	B	B	A	A	B	B	A	A	B	B	A	A	B	B	A	A	ENSG00000116731	PRDM2
chr1	12791397	12791399	B	B	B	B	B	B	A	A	B	B	A	A	B	B	A	A	B	B	B	B	ENSG00000116721	PRAMEF1
chr1	9588922	9588924	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000188807	TMEM201
chr1	3652516	3652518	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000078900	TP73
chr1	11189355	11189357	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000171819	ANGPTL7
chr1	7954291	7954293	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000116288	PARK7
chr1	26410817	26410819	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000131914	LIN28A
chr1	24745447	24745449	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000169504	CLIC4
chr1	27392622	27392624	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000181773	GPR3
chr1	16352575	16352577	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000055070	SZRD1
chr1	26111173	26111175	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000175087	PDIK1L
chr1	6785454	6785456	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000171735	CAMTA1
chr1	16440724	16440726	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000157191	NECAP2
chr1	24631716	24631718	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000133226	SRRM1
chr1	11766742	11766744	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000215910	C1orf167
chr1	11664200	11664202	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000116663	FBXO6
chr1	15659869	15659871	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000215695	RSC1A1
chr1	26900238	26900240	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000090273	NUDC
chr1	23956839	23956841	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000189266	PNRC2
chr1	28369582	28369584	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000204138	PHACTR4
chr1	26177491	26177493	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000142675	CNKSR1
chr1	26159079	26159081	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000197245	FAM110D
chr1	28329002	28329004	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000130772	MED18
chr1	26826688	26826690	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000204160	ZDHHC18
chr1	25543606	25543608	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000157978	LDLRAP1
chr1	28236109	28236111	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000130770	ATP5IF1
chr1	27234668	27234670	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000142784	WDTC1
chr1	26432282	26432284	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000117682	DHDDS
chr1	26863149	26863151	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000175793	SFN
chr1	28259518	28259520	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000130766	SESN2
chr1	31409565	31409567	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000168528	SERINC2
chr1	4654732	4654734	B	B	B	B	B	B	A	A	B	B	A	A	B	B	B	B	B	B	B	B	ENSG00000196581	AJAP1
chr1	26529761	26529763	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000117676	RPS6KA1
chr1	26472450	26472452	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000198830	HMGN2
chr1	9539465	9539467	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000171612	SLC25A33
chr1	15756607	15756609	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000162458	FBLIM1
chr1	34781214	34781216	B	B	A	A	A	B	A	A	B	B	A	A	B	B	B	B	B	B	A	A	ENSG00000188910	GJB3
chr1	15526813	15526815	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000116138	DNAJC16
chr1	27342020	27342022	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000142765	SYTL1
chr1	26169908	26169910	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000142684	ZNF593
chr1	26787054	26787056	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000060642	PIGV
chr1	12746200	12746202	B	B	B	B	B	B	A	A	B	B	A	A	B	B	A	A	B	B	B	B	ENSG00000157330	C1orf158
chr1	11691710	11691712	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000162490	DRAXIN
chr1	13892792	13892794	B	B	B	B	B	B	A	A	B	B	B	A	B	B	A	A	B	B	B	A	ENSG00000189337	KAZN
chr1	13254212	13254214	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENSG00000270601	PRAMEF5
chr1	12166991	12166993	A	A	A	A	A	A	A	A	B	B	A	A	A	A	A	A	A	A	A	A	ENSG00000028137	TNFRSF1B
chr1	15742499	15742501	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000162460	TMEM82
chr1	10032832	10032834	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000130939	UBE4B
chr1	20028179	20028181	A	A	A	A	A	A	A	A	B	B	A	A	A	A	A	A	B	B	A	A	ENSG00000127472	PLA2G5
chr1	29236516	29236518	A	A	A	A	A	A	A	A	B	B	A	A	A	A	A	A	B	B	A	A	ENSG00000060656	PTPRU
chr1	34755047	34755049	B	B	A	A	A	B	A	A	B	B	A	A	B	B	B	B	B	B	A	A	ENSG00000189280	GJB5
chr1	35808016	35808018	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000134698	AGO4
chr1	37692516	37692518	A	A	A	A	A	A	A	A	B	B	A	A	B	B	A	A	B	B	A	A	ENSG00000134690	CDCA8
chr1	32465072	32465074	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000273274	ZBTB8B
chr1	6205475	6205477	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000158286	RNF207
chr1	18630846	18630848	A	A	A	A	A	A	A	A	B	B	A	A	B	B	A	A	B	B	A	A	ENSG00000009709	PAX7
chr1	12716115	12716117	B	B	B	B	B	B	A	A	B	B	A	A	B	B	A	A	B	B	B	B	ENSG00000188984	AADACL3
chr1	26019884	26019886	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000158008	EXTL1
chr1	37556940	37556942	A	A	A	A	A	A	A	A	B	B	A	A	B	B	A	A	A	A	A	A	ENSG00000163879	DNALI1
chr1	40783787	40783789	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000117013	KCNQ4
chr1	13303539	13303541	B	B	B	B	B	B	A	A	B	B	A	B	B	B	A	A	NA	NA	B	B	ENSG00000237700	PRAMEF33
chr1	26993692	26993694	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000253368	TRNP1
chr1	15736258	15736260	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000162461	SLC25A34
chr1	42153410	42153412	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000044012	GUCA2B
chr1	19251805	19251807	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000053372	MRTO4
chr1	40691648	40691650	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000066136	NFYC
chr1	15617458	15617460	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000197312	DDI2
chr1	46303698	46303700	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000173660	UQCRH
chr1	35869808	35869810	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000092847	AGO1
chr1	12917625	12917627	B	B	NA	NA	B	B	NA	NA	B	B	B	B	NA	NA	NA	NA	NA	NA	NA	NA	ENSG00000204510	PRAMEF7
chr1	36224443	36224445	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000054118	THRAP3
chr1	32465057	32465059	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000254553	
chr1	42380795	42380797	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000177181	RIMKLA
chr1	17372196	17372198	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000276747	PADI6
chr1	17308195	17308197	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000159339	PADI4
chr1	37806979	37806981	A	A	A	A	A	A	A	A	B	B	A	A	A	B	A	A	A	A	A	A	ENSG00000197982	C1orf122
chr1	43145153	43145155	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000186973	FAM183A
chr1	34166883	34166885	B	B	B	B	B	B	A	A	B	B	A	A	B	B	B	B	B	B	A	B	ENSG00000142698	C1orf94
chr1	35268709	35268711	A	A	A	A	A	A	A	A	B	B	A	A	A	A	A	A	A	A	A	A	ENSG00000146463	ZMYM4
chr1	38009258	38009260	A	A	A	A	A	A	A	A	B	B	A	A	B	B	A	A	B	B	A	A	ENSG00000183520	UTP11
chr1	17755333	17755335	A	A	A	A	A	A	A	A	B	B	A	A	B	B	A	A	B	B	A	A	ENSG00000117148	ACTL8
chr1	42456117	42456119	A	A	A	A	A	A	A	A	B	A	A	A	A	A	A	A	A	A	A	A	ENSG00000127125	PPCS
chr1	40161387	40161389	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000117000	RLF
chr1	43650149	43650151	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000284989	
chr1	34792999	34793001	B	B	A	A	A	B	A	A	B	B	A	A	B	B	B	B	B	B	A	A	ENSG00000187513	GJA4
chr1	43300982	43300984	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000066056	TIE1
chr1	19484403	19484405	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000173436	MICOS10
chr1	41361922	41361924	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000204060	FOXO6
chr1	40979688	40979690	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000171793	CTPS1
chr1	54980628	54980630	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000143001	TMEM61
chr1	42785007	42785009	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000274386	TMEM269
chr1	53062213	53062215	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000174348	PODN
chr1	51577179	51577181	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000117859	OSBPL9
chr1	19312326	19312328	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000040487	SLC66A1
chr1	52842511	52842513	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000203995	ZYG11A
chr1	26693236	26693238	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000117713	ARID1A
chr1	52726453	52726455	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000162378	ZYG11B
chr1	60865259	60865261	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	ENSG00000162599	NFIA
chr1	62194849	62194851	B	B	B	B	A	A	A	A	A	A	A	A	B	B	A	A	B	B	B	B	ENSG00000240563	L1TD1
chr1	21509423	21509425	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000162551	ALPL
chr1	55039447	55039449	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000169174	PCSK9
chr1	54715861	54715863	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000243725	TTC4
chr1	44118821	44118823	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000171872	KLF17
chr1	53196824	53196826	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000157184	CPT2
chr1	64745095	64745097	A	A	B	B	A	A	A	A	A	A	B	B	B	B	B	B	B	B	B	B	ENSG00000162437	RAVER2
chr1	63322567	63322569	A	B	B	A	A	A	A	A	B	A	B	B	B	B	B	B	B	B	B	B	ENSG00000187140	FOXD3
chr1	42463221	42463223	A	A	A	A	A	A	A	A	B	A	A	A	A	A	A	A	A	A	A	A	ENSG00000186409	CCDC30
chr1	46203334	46203336	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000171357	LURAP1
chr1	45786987	45786989	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000086015	MAST2
chr1	65792514	65792516	B	B	B	B	B	B	B	B	A	A	B	B	B	B	B	B	B	B	B	B	ENSG00000184588	PDE4B
chr1	46175073	46175075	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000117472	TSPAN1
chr1	50960745	50960747	B	B	A	A	A	A	A	A	A	A	A	B	B	B	A	A	A	B	B	B	ENSG00000123080	CDKN2C
chr1	63774022	63774024	A	A	B	B	A	A	A	A	A	A	B	B	B	B	B	B	A	A	A	A	ENSG00000185483	ROR1
chr1	54053584	54053586	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000116205	TCEANC2
chr1	53946350	53946352	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000116212	LRRC42
chr1	77979175	77979177	A	A	A	A	A	A	A	B	A	A	A	B	A	A	A	B	A	A	A	A	ENSG00000162616	DNAJB4
chr1	62436297	62436299	A	B	A	A	A	A	A	A	A	A	A	A	B	B	A	A	B	B	A	B	ENSG00000162607	USP1
chr1	77282019	77282021	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	A	A	B	B	ENSG00000154027	AK5
chr1	77979542	77979544	A	A	A	A	A	A	A	B	A	A	A	B	A	A	A	B	A	A	A	A	ENSG00000137960	GIPC2
chr1	62597520	62597522	A	B	A	A	A	A	A	A	B	B	A	A	B	B	A	A	A	A	B	B	ENSG00000132855	ANGPTL3
chr1	65248219	65248221	A	A	B	B	A	A	B	B	A	A	B	B	B	B	B	B	B	B	B	B	ENSG00000116675	DNAJC6
chr1	65147549	65147551	A	A	B	B	A	A	A	A	A	A	A	B	B	B	B	B	B	B	B	B	ENSG00000162433	AK4
chr1	65420587	65420589	B	A	B	B	A	A	B	B	A	A	B	B	B	B	B	B	B	B	B	B	ENSG00000213625	LEPROT
chr1	46246461	46246463	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000085999	RAD54L
chr1	64470129	64470131	A	A	B	B	A	A	A	A	A	A	B	B	B	B	B	B	B	B	B	B	ENSG00000158966	CACHD1
chr1	63523372	63523374	A	A	A	A	A	A	A	A	A	A	B	B	B	B	B	B	B	B	B	B	ENSG00000203965	EFCAB7
chr1	76867480	76867482	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	A	A	B	B	ENSG00000117069	ST6GALNAC5
chr1	62784135	62784137	B	A	A	A	A	A	A	A	B	B	A	A	B	B	A	A	B	B	B	B	ENSG00000125703	ATG4C
chr1	86914648	86914650	B	B	A	A	A	A	B	B	A	A	A	A	B	B	A	A	A	A	B	B	ENSG00000153936	HS2ST1
chr1	39692182	39692184	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000084072	PPIE
chr1	77779624	77779626	A	A	A	A	A	A	A	A	A	B	A	B	A	A	A	A	A	A	A	A	ENSG00000180488	MIGA1
chr1	86468368	86468370	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	ENSG00000016490	CLCA1
chr1	67685201	67685203	B	A	B	B	A	A	B	B	B	B	B	B	A	A	B	B	A	A	A	A	ENSG00000116717	GADD45A
chr1	43650149	43650151	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000066135	KDM4A
chr1	54641790	54641792	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000184313	MROH7
chr1	78303884	78303886	B	B	B	B	B	B	B	B	B	B	B	B	A	B	B	B	A	A	B	B	ENSG00000122420	PTGFR
chr1	86993009	86993011	B	B	A	A	A	A	B	B	A	A	A	A	B	B	A	A	A	A	B	B	ENSG00000267561	
chr1	87328880	87328882	B	B	B	B	A	B	B	B	A	A	B	B	B	B	B	B	A	A	B	B	ENSG00000143013	LMO4
chr1	52404602	52404604	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000134748	PRPF38A
chr1	76074746	76074748	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	A	A	B	B	ENSG00000184005	ST6GALNAC3
chr1	46394317	46394319	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000117480	FAAH
chr1	52633168	52633170	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000182183	SHISAL2A
chr1	89633140	89633142	B	B	A	A	A	A	B	B	B	B	B	B	B	B	B	B	B	B	B	B	ENSG00000271949	
chr1	43525187	43525189	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000142949	PTPRF
chr1	54998933	54998935	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000162399	BSND
chr1	52602371	52602373	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000116157	GPX7
chr1	94820342	94820344	A	A	B	B	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000143036	SLC44A3
chr1	88684222	88684224	B	B	B	B	A	A	B	B	A	A	B	B	B	B	B	B	B	B	B	B	ENSG00000065243	PKN2
chr1	86547078	86547080	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	ENSG00000016602	CLCA4
chr1	94418389	94418391	A	A	B	B	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000117528	ABCD3
chr1	54641786	54641788	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000271723	MROH7-TTC4
chr1	99970011	99970013	A	B	A	A	A	A	B	B	A	A	B	B	A	A	A	A	A	A	A	A	ENSG00000283761	
chr1	34759740	34759742	B	B	A	A	A	B	A	A	B	B	A	A	B	B	B	B	B	B	A	A	ENSG00000189433	GJB4
chr1	43269983	43269985	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000179178	TMEM125
chr1	86704576	86704578	B	B	B	A	A	A	B	B	B	B	A	B	A	B	A	A	A	A	B	B	ENSG00000097033	SH3GLB1
chr1	52927276	52927278	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000116171	SCP2
chr1	59814786	59814788	B	B	B	B	B	B	B	A	B	B	B	B	B	B	B	B	B	B	B	B	ENSG00000134709	HOOK1
chr1	44213455	44213457	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000178028	DMAP1
chr1	109984765	109984767	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000168710	AHCYL1
chr1	95117355	95117357	A	A	B	B	A	A	B	B	A	A	B	B	B	B	B	B	B	B	B	B	ENSG00000152078	TLCD4
chr1	89821014	89821016	A	A	A	A	A	A	A	A	A	A	A	A	B	B	A	A	A	A	A	A	ENSG00000171492	LRRC8D
chr1	101236865	101236867	B	B	A	A	B	B	B	B	B	A	B	B	B	B	B	B	A	A	A	A	ENSG00000170989	S1PR1
