chr	start	end	gene	sym
chr1	34166883	34166885	ENSG00000142698	C1orf94
chr1	35268709	35268711	ENSG00000146463	ZMYM4
chr1	38009258	38009260	ENSG00000183520	UTP11
chr1	17755333	17755335	ENSG00000117148	ACTL8
chr1	42456117	42456119	ENSG00000127125	PPCS
chr1	40161387	40161389	ENSG00000117000	RLF
chr1	43650149	43650151	ENSG00000284989	
chr1	34792999	34793001	ENSG00000187513	GJA4
chr1	43300982	43300984	ENSG00000066056	TIE1
chr1	19484403	19484405	ENSG00000173436	MICOS10
chr1	41361922	41361924	ENSG00000204060	FOXO6
chr1	40979688	40979690	ENSG00000171793	CTPS1
chr1	54980628	54980630	ENSG00000143001	TMEM61
chr1	42785007	42785009	ENSG00000274386	TMEM269
chr1	53062213	53062215	ENSG00000174348	PODN
chr1	51577179	51577181	ENSG00000117859	OSBPL9
chr1	19312326	19312328	ENSG00000040487	SLC66A1
chr1	52842511	52842513	ENSG00000203995	ZYG11A
chr1	26693236	26693238	ENSG00000117713	ARID1A
chr1	52726453	52726455	ENSG00000162378	ZYG11B
chr1	60865259	60865261	ENSG00000162599	NFIA
chr1	62194849	62194851	ENSG00000240563	L1TD1
chr1	21509423	21509425	ENSG00000162551	ALPL
chr1	55039447	55039449	ENSG00000169174	PCSK9
chr1	54715861	54715863	ENSG00000243725	TTC4
chr1	44118821	44118823	ENSG00000171872	KLF17
chr1	53196824	53196826	ENSG00000157184	CPT2
chr1	64745095	64745097	ENSG00000162437	RAVER2
chr1	63322567	63322569	ENSG00000187140	FOXD3
chr1	42463221	42463223	ENSG00000186409	CCDC30
chr1	46203334	46203336	ENSG00000171357	LURAP1
chr1	45786987	45786989	ENSG00000086015	MAST2
chr1	65792514	65792516	ENSG00000184588	PDE4B
chr1	46175073	46175075	ENSG00000117472	TSPAN1
chr1	50960745	50960747	ENSG00000123080	CDKN2C
chr1	63774022	63774024	ENSG00000185483	ROR1
chr1	54053584	54053586	ENSG00000116205	TCEANC2
chr1	53946350	53946352	ENSG00000116212	LRRC42
chr1	77979175	77979177	ENSG00000162616	DNAJB4
chr1	62436297	62436299	ENSG00000162607	USP1
chr1	77282019	77282021	ENSG00000154027	AK5
chr1	77979542	77979544	ENSG00000137960	GIPC2
chr1	62597520	62597522	ENSG00000132855	ANGPTL3
chr1	65248219	65248221	ENSG00000116675	DNAJC6
chr1	65147549	65147551	ENSG00000162433	AK4
chr1	65420587	65420589	ENSG00000213625	LEPROT
chr1	46246461	46246463	ENSG00000085999	RAD54L
chr1	64470129	64470131	ENSG00000158966	CACHD1
chr1	63523372	63523374	ENSG00000203965	EFCAB7
chr1	76867480	76867482	ENSG00000117069	ST6GALNAC5
chr1	62784135	62784137	ENSG00000125703	ATG4C
chr1	86914648	86914650	ENSG00000153936	HS2ST1
chr1	39692182	39692184	ENSG00000084072	PPIE
chr1	77779624	77779626	ENSG00000180488	MIGA1
chr1	86468368	86468370	ENSG00000016490	CLCA1
chr1	67685201	67685203	ENSG00000116717	GADD45A
chr1	43650149	43650151	ENSG00000066135	KDM4A
chr1	54641790	54641792	ENSG00000184313	MROH7
chr1	78303884	78303886	ENSG00000122420	PTGFR
chr1	86993009	86993011	ENSG00000267561	
chr1	87328880	87328882	ENSG00000143013	LMO4
chr1	52404602	52404604	ENSG00000134748	PRPF38A
chr1	76074746	76074748	ENSG00000184005	ST6GALNAC3
chr1	46394317	46394319	ENSG00000117480	FAAH
chr1	52633168	52633170	ENSG00000182183	SHISAL2A
chr1	89633140	89633142	ENSG00000271949	
chr1	43525187	43525189	ENSG00000142949	PTPRF
chr1	54998933	54998935	ENSG00000162399	BSND
chr1	52602371	52602373	ENSG00000116157	GPX7
chr1	94820342	94820344	ENSG00000143036	SLC44A3
chr1	88684222	88684224	ENSG00000065243	PKN2
chr1	86547078	86547080	ENSG00000016602	CLCA4
chr1	94418389	94418391	ENSG00000117528	ABCD3
chr1	54641786	54641788	ENSG00000271723	MROH7-TTC4
chr1	99970011	99970013	ENSG00000283761	
chr1	34759740	34759742	ENSG00000189433	GJB4
chr1	43269983	43269985	ENSG00000179178	TMEM125
chr1	86704576	86704578	ENSG00000097033	SH3GLB1
chr1	52927276	52927278	ENSG00000116171	SCP2
chr1	59814786	59814788	ENSG00000134709	HOOK1
chr1	44213455	44213457	ENSG00000178028	DMAP1
chr1	109984765	109984767	ENSG00000168710	AHCYL1
chr1	95117355	95117357	ENSG00000152078	TLCD4
chr1	89821014	89821016	ENSG00000171492	LRRC8D
chr1	101236865	101236867	ENSG00000170989	S1PR1
chr1	108450287	108450289	ENSG00000186086	NBPF6
chr1	109113679	109113681	ENSG00000116299	ELAPOR1
chr1	63593411	63593413	ENSG00000079739	PGM1
chr1	18107798	18107800	ENSG00000117154	IGSF21
chr1	113979441	113979443	ENSG00000116774	OLFML3
chr1	84479259	84479261	ENSG00000117133	RPF1
chr1	43389882	43389884	ENSG00000198198	SZT2
chr1	109711780	109711782	ENSG00000134201	GSTM5
chr1	109668022	109668024	ENSG00000213366	GSTM2
chr1	99646113	99646115	ENSG00000099260	PALMD
chr1	100719742	100719744	ENSG00000162692	VCAM1
chr1	113929324	113929326	ENSG00000163349	HIPK1
chr1	100538139	100538141	ENSG00000181656	GPR88
chr1	95234210	95234212	ENSG00000122481	RWDD3
chr1	117367449	117367451	ENSG00000198162	MAN1A2
chr1	112396214	112396216	ENSG00000143079	CTTNBP2NL
chr1	84999147	84999149	ENSG00000162643	DNAI3
chr1	110031577	110031579	ENSG00000143093	STRIP1
chr1	111346622	111346624	ENSG00000173947	PIFO
chr1	145095974	145095976	ENSG00000215784	FAM72D
chr1	112673141	112673143	ENSG00000155363	MOV10
chr1	113073198	113073200	ENSG00000198799	LRIG2
chr1	99969351	99969353	ENSG00000117620	SLC35A3
chr1	99850361	99850363	ENSG00000162688	AGL
chr1	110150494	110150496	ENSG00000197106	SLC6A17
chr1	119415050	119415052	ENSG00000203859	HSD3B2
chr1	103525691	103525693	ENSG00000185946	RNPC3
chr1	98661701	98661703	ENSG00000162627	SNX7
chr1	145824088	145824090	ENSG00000186141	POLR3C
chr1	109213918	109213920	ENSG00000031698	SARS1
chr1	100896076	100896078	ENSG00000162695	SLC30A7
chr1	109687814	109687816	ENSG00000134184	GSTM1
chr1	116909916	116909918	ENSG00000134247	PTGFRN
chr1	89995112	89995114	ENSG00000162664	ZNF326
chr1	115641991	115641993	ENSG00000173218	VANGL1
chr1	117606048	117606050	ENSG00000183508	TENT5C
chr1	150067279	150067281	ENSG00000136631	VPS45
chr1	114854863	114854865	ENSG00000198765	SYCP1
chr1	151197949	151197951	ENSG00000143398	PIP5K1A
chr1	150321533	150321535	ENSG00000117360	PRPF3
chr1	113905213	113905215	ENSG00000118655	DCLRE1B
chr1	146938744	146938746	ENSG00000268043	NBPF12
chr1	112619832	112619834	ENSG00000116489	CAPZA1
chr1	115029826	115029828	ENSG00000134200	TSHB
chr1	150268200	150268202	ENSG00000118292	C1orf54
chr1	117929724	117929726	ENSG00000065183	WDR3
chr1	152842856	152842858	ENSG00000235942	LCE6A
chr1	150149183	150149185	ENSG00000023902	PLEKHO1
chr1	115976513	115976515	ENSG00000163393	SLC22A15
chr1	147242654	147242656	ENSG00000131778	CHD1L
chr1	151156664	151156666	ENSG00000163156	SCNM1
chr1	151399573	151399575	ENSG00000159377	PSMB4
chr1	153031203	153031205	ENSG00000169469	SPRR1B
chr1	148808181	148808183	ENSG00000178104	PDE4DIP
chr1	100345001	100345003	ENSG00000079335	CDC14A
chr1	110871188	110871190	ENSG00000143119	CD53
chr1	155002657	155002659	ENSG00000160685	ZBTB7B
chr1	121184975	121184977	ENSG00000171943	SRGAP2C
chr1	152811971	152811973	ENSG00000196734	LCE1B
chr1	150282543	150282545	ENSG00000159208	CIART
chr1	151281618	151281620	ENSG00000143373	ZNF687
chr1	117060326	117060328	ENSG00000116830	TTF2
chr1	149390614	149390616	ENSG00000286219	NOTCH2NLC
chr1	154974653	154974655	ENSG00000173207	CKS1B
chr1	153678688	153678690	ENSG00000169418	NPR1
chr1	152859996	152859998	ENSG00000285946	
chr1	113390749	113390751	ENSG00000081026	MAGI3
chr1	111542218	111542220	ENSG00000116473	RAP1A
chr1	110112443	110112445	ENSG00000186150	UBL4B
chr1	153774354	153774356	ENSG00000143554	SLC27A3
chr1	151070578	151070580	ENSG00000143458	GABPB2
chr1	150257774	150257776	ENSG00000118298	CA14
chr1	154321090	154321092	ENSG00000143595	AQP10
chr1	120723946	120723948	ENSG00000286106	NOTCH2NLR
chr1	145964702	145964704	ENSG00000121851	POLR3GL
chr1	153357854	153357856	ENSG00000163220	S100A9
chr1	154983338	154983340	ENSG00000160688	FLAD1
chr1	111448864	111448866	ENSG00000116459	ATP5PB
chr1	160400564	160400566	ENSG00000162738	VANGL2
chr1	145845630	145845632	ENSG00000186364	NUDT17
chr1	152827473	152827475	ENSG00000186844	LCE1A
chr1	153217584	153217586	ENSG00000203783	PRR9
chr1	116754430	116754432	ENSG00000116824	CD2
chr1	63367575	63367577	ENSG00000088035	ALG6
chr1	152878322	152878324	ENSG00000163206	SMCP
chr1	120723949	120723951	ENSG00000273136	NBPF26
chr1	152985231	152985233	ENSG00000169474	SPRR1A
chr1	121087345	121087347	ENSG00000198019	FCGR1B
chr1	154993586	154993588	ENSG00000163352	LENEP
chr1	152947154	152947156	ENSG00000283227	SPRR5
chr1	145607990	145607992	ENSG00000117262	GPR89A
chr1	153259687	153259689	ENSG00000203782	LORICRIN
chr1	153728050	153728052	ENSG00000143624	INTS3
chr1	162378841	162378843	ENSG00000239887	C1orf226
chr1	153416520	153416522	ENSG00000184330	S100A7A
chr1	160081538	160081540	ENSG00000162728	KCNJ9
chr1	109910242	109910244	ENSG00000184371	CSF1
chr1	151510510	151510512	ENSG00000143375	CGN
chr1	151156649	151156651	ENSG00000163154	TNFAIP8L2
chr1	154220179	154220181	ENSG00000143569	UBAP2L
chr1	152970648	152970650	ENSG00000184148	SPRR4
chr1	159437845	159437847	ENSG00000196184	OR10J1
chr1	95117923	95117925	ENSG00000271092	TLCD4-RWDD3
chr1	145719471	145719473	ENSG00000117281	CD160
chr1	169662007	169662009	ENSG00000000460	C1orf112
chr1	158930796	158930798	ENSG00000163564	PYHIN1
chr1	183023420	183023422	ENSG00000135862	LAMC1
chr1	158178030	158178032	ENSG00000158473	CD1D
chr1	165631234	165631236	ENSG00000143198	MGST3
chr1	160190575	160190577	ENSG00000143318	CASQ1
chr1	160343383	160343385	ENSG00000162736	NCSTN
chr1	172659103	172659105	ENSG00000117560	FASLG
chr1	168178962	168178964	ENSG00000143155	TIPRL
chr1	167630232	167630234	ENSG00000198771	RCSD1
chr1	168225938	168225940	ENSG00000213064	SFT2D2
chr1	165827614	165827616	ENSG00000143179	UCK2
chr1	179025804	179025806	ENSG00000116199	FAM20B
chr1	171090905	171090907	ENSG00000007933	FMO3
chr1	145927258	145927260	ENSG00000280778	
chr1	180154869	180154871	ENSG00000116260	QSOX1
chr1	169367970	169367972	ENSG00000117475	BLZF1
chr1	179743163	179743165	ENSG00000143340	FAM163A
chr1	167220886	167220888	ENSG00000143190	POU2F1
chr1	179365720	179365722	ENSG00000162779	AXDND1
chr1	84506300	84506302	ENSG00000122432	SPATA1
chr1	153001749	153001751	ENSG00000163209	SPRR3
chr1	160115759	160115761	ENSG00000018625	ATP1A2
chr1	159204875	159204877	ENSG00000213088	ACKR1
chr1	111290862	111290864	ENSG00000134216	CHIA
chr1	152908546	152908548	ENSG00000163207	IVL
chr1	157993273	157993275	ENSG00000183853	KIRREL1
chr1	167935783	167935785	ENSG00000143164	DCAF6
chr1	180230264	180230266	ENSG00000121454	LHX4
chr1	35930718	35930720	ENSG00000126070	AGO3
chr1	183186238	183186240	ENSG00000058085	LAMC2
chr1	192809039	192809041	ENSG00000116741	RGS2
chr1	207088860	207088862	ENSG00000123843	C4BPB
chr1	168576605	168576607	ENSG00000143184	XCL1
chr1	226548764	226548766	ENSG00000203685	STUM
chr1	160367071	160367073	ENSG00000171786	NHLH1
chr1	203090654	203090656	ENSG00000163485	ADORA1
chr1	207104233	207104235	ENSG00000123838	C4BPA
chr1	196652043	196652045	ENSG00000000971	CFH
chr1	200739558	200739560	ENSG00000118200	CAMSAP2
chr1	163266576	163266578	ENSG00000143228	NUF2
chr1	205568885	205568887	ENSG00000174514	MFSD4A
chr1	168280877	168280879	ENSG00000143178	TBX19
chr1	56645314	56645316	ENSG00000162409	PRKAA2
chr1	200027710	200027712	ENSG00000116833	NR5A2
chr1	149390623	149390625	ENSG00000286185	
chr1	151540309	151540311	ENSG00000143367	TUFT1
chr1	171841498	171841500	ENSG00000197959	DNM3
chr1	172420685	172420687	ENSG00000180999	C1orf105
chr1	153203430	153203432	ENSG00000203784	LELP1
chr1	244969705	244969707	ENSG00000203666	EFCAB2
chr1	160796074	160796076	ENSG00000122224	LY9
chr1	179591613	179591615	ENSG00000162782	TDRD5
chr1	246724409	246724411	ENSG00000143653	SCCPDH
chr1	179954810	179954812	ENSG00000135837	CEP350
chr1	203007374	203007376	ENSG00000163444	TMEM183A
chr1	219173878	219173880	ENSG00000143353	LYPLAL1
chr1	167721192	167721194	ENSG00000197965	MPZL1
chr1	244454377	244454379	ENSG00000179397	CATSPERE
chr1	173477335	173477337	ENSG00000117592	PRDX6
chr1	235327350	235327352	ENSG00000152904	GGPS1
chr1	236348257	236348259	ENSG00000186197	EDARADD
chr1	171185300	171185302	ENSG00000094963	FMO2
chr1	214281102	214281104	ENSG00000143499	SMYD2
chr1	228735479	228735481	ENSG00000116574	RHOU
chr1	179082070	179082072	ENSG00000186283	TOR3A
chr1	185045558	185045560	ENSG00000121481	RNF2
chr1	217631324	217631326	ENSG00000162814	SPATA17
chr1	202007945	202007947	ENSG00000163435	ELF3
chr1	170662728	170662730	ENSG00000116132	PRRX1
chr1	159171609	159171611	ENSG00000162706	CADM3
chr1	212035748	212035750	ENSG00000143476	DTL
chr1	209686178	209686180	ENSG00000117594	HSD11B1
chr1	179293797	179293799	ENSG00000057252	SOAT1
chr1	246566444	246566446	ENSG00000162852	CNST
chr1	204073115	204073117	ENSG00000143842	SOX13
chr1	203305491	203305493	ENSG00000159388	BTG2
chr1	227563556	227563558	ENSG00000181450	ZNF678
chr1	197911902	197911904	ENSG00000143355	LHX9
chr1	209827972	209827974	ENSG00000117597	UTP25
chr1	244653126	244653128	ENSG00000121644	DESI2
chr1	245154985	245154987	ENSG00000162849	KIF26B
chr1	218285293	218285295	ENSG00000067533	RRP15
chr1	248095184	248095186	ENSG00000196071	OR2L13
chr1	174999163	174999165	ENSG00000116161	CACYBP
chr1	203026498	203026500	ENSG00000143847	PPFIA4
chr1	220094132	220094134	ENSG00000067704	IARS2
chr1	202348699	202348701	ENSG00000077157	PPP1R12B
chr1	223701645	223701647	ENSG00000162909	CAPN2
chr1	197902630	197902632	ENSG00000203724	C1orf53
chr1	203475806	203475808	ENSG00000188783	PRELP
chr1	229271075	229271077	ENSG00000168118	RAB4A
chr1	247965233	247965235	ENSG00000187080	OR2AK2
chr1	230978981	230978983	ENSG00000173409	ARV1
chr1	209900923	209900925	ENSG00000143469	SYT14
chr1	182839347	182839349	ENSG00000135829	DHX9
chr1	52056295	52056297	ENSG00000134717	BTF3L4
chr1	185157080	185157082	ENSG00000116668	SWT1
chr1	224114111	224114113	ENSG00000143756	FBXO28
chr1	178513109	178513111	ENSG00000240021	TEX35
chr1	160739247	160739249	ENSG00000026751	SLAMF7
chr1	192158462	192158464	ENSG00000150681	RGS18
chr1	231241207	231241209	ENSG00000116906	GNPAT
chr1	218345336	218345338	ENSG00000092969	TGFB2
chr1	186375838	186375840	ENSG00000157181	ODR4
chr1	169105697	169105699	ENSG00000143153	ATP1B1
chr1	175067833	175067835	ENSG00000120332	TNN
chr1	171314208	171314210	ENSG00000076258	FMO4
chr1	160151603	160151605	ENSG00000132681	ATP1A4
chr1	230057990	230057992	ENSG00000143641	GALNT2
chr1	171248494	171248496	ENSG00000010932	FMO1
chr1	231337104	231337106	ENSG00000010072	SPRTN
chr1	176463171	176463173	ENSG00000116183	PAPPA2
chr1	231528653	231528655	ENSG00000270106	TSNAX-DISC1
chr1	212285410	212285412	ENSG00000066027	PPP2R5A
chr1	162631373	162631375	ENSG00000162733	DDR2
chr1	203494153	203494155	ENSG00000188770	OPTC
chr1	244352635	244352637	ENSG00000173728	C1orf100
chr1	172532349	172532351	ENSG00000094975	SUCO
chr1	212565334	212565336	ENSG00000162772	ATF3
chr1	186828949	186828951	ENSG00000116711	PLA2G4A
chr1	209756032	209756034	ENSG00000009790	TRAF3IP3
chr1	183472216	183472218	ENSG00000116698	SMG7
chr1	213983181	213983183	ENSG00000117707	PROX1
chr1	207034366	207034368	ENSG00000123836	PFKFB2
chr1	212432920	212432922	ENSG00000117691	NENF
chr1	212791828	212791830	ENSG00000203705	TATDN3
chr1	198638457	198638459	ENSG00000081237	PTPRC
chr1	209583717	209583719	ENSG00000008118	CAMK1G
chr1	248838210	248838212	ENSG00000171161	ZNF672
chr1	162561533	162561535	ENSG00000117143	UAP1
chr1	162497818	162497820	ENSG00000152332	UHMK1
chr1	17539698	17539700	ENSG00000074964	ARHGEF10L
chr1	231528541	231528543	ENSG00000116918	TSNAX
chr1	235328570	235328572	ENSG00000285053	TBCE
chr1	192716132	192716134	ENSG00000231767	RPS27AP5
chr1	162069774	162069776	ENSG00000198929	NOS1AP
chr1	212624474	212624476	ENSG00000162771	FAM71A
chr1	201982372	201982374	ENSG00000176393	RNPEP
chr1	182409192	182409194	ENSG00000121446	RGSL1
chr1	209675412	209675414	ENSG00000123689	G0S2
chr1	162365407	162365409	ENSG00000254706	
chr1	237042184	237042186	ENSG00000198626	RYR2
chr1	177170958	177170960	ENSG00000198797	BRINP2
chr1	198156998	198157000	ENSG00000151414	NEK7
chr1	213051241	213051243	ENSG00000136643	RPS6KC1
chr1	205227946	205227948	ENSG00000133069	TMCC2
chr1	220748225	220748227	ENSG00000117791	MTARC2
chr1	214603195	214603197	ENSG00000117724	CENPF
chr1	192316992	192316994	ENSG00000253148	RGS21
chr1	192575773	192575775	ENSG00000090104	RGS1
chr1	201829157	201829159	ENSG00000198700	IPO9
chr1	248906196	248906198	ENSG00000185220	PGBD2
chr1	212858275	212858277	ENSG00000162769	FLVCR1
chr1	236142505	236142507	ENSG00000077585	GPR137B
chr1	180913154	180913156	ENSG00000135835	KIAA1614
chr1	201622927	201622929	ENSG00000134369	NAV1
chr1	181317690	181317692	ENSG00000198216	CACNA1E
chr1	180632022	180632024	ENSG00000143324	XPR1
chr1	167094075	167094077	ENSG00000198842	STYXL2
chr1	84078062	84078064	ENSG00000142875	PRKACB
chr1	224434660	224434662	ENSG00000143786	CNIH3
chr1	171781664	171781666	ENSG00000010165	EEF1AKNMT
chr1	243256034	243256036	ENSG00000054282	SDCCAG8
chr1	144592868	144592870	ENSG00000279782	PPIAL4F
chr1	109249539	109249541	ENSG00000143126	CELSR2
chr1	233904676	233904678	ENSG00000183780	SLC35F3
chr1	166989280	166989282	ENSG00000143194	MAEL
chr1	112466541	112466543	ENSG00000134245	WNT2B
chr1	233327768	233327770	ENSG00000143674	MAP3K21
chr1	201955503	201955505	ENSG00000134375	TIMM17A
chr1	91500851	91500853	ENSG00000097046	CDC7
chr1	173635338	173635340	ENSG00000232113	TEX50
chr1	244835658	244835660	ENSG00000203667	COX20
chr1	120889746	120889748	ENSG00000263353	PPIAL4A
chr1	81306147	81306149	ENSG00000117114	ADGRL2
chr1	174447964	174447966	ENSG00000203737	GPR52
chr1	173714941	173714943	ENSG00000076321	KLHL20
chr1	154272629	154272631	ENSG00000143575	HAX1
chr1	232950605	232950607	ENSG00000135778	NTPCR
chr1	56854797	56854799	ENSG00000157131	C8A
chr1	210232796	210232798	ENSG00000082497	SERTAD4
chr1	215567304	215567306	ENSG00000136636	KCTD3
chr1	37474580	37474582	ENSG00000163874	ZC3H12A
chr1	210328902	210328904	ENSG00000054392	HHAT
chr1	207454230	207454232	ENSG00000117322	CR2
chr1	233614106	233614108	ENSG00000135750	KCNK1
chr1	86424171	86424173	ENSG00000137975	CLCA2
chr1	185734391	185734393	ENSG00000143341	HMCN1
chr1	20552573	20552575	ENSG00000183114	FAM43B
chr1	20589086	20589088	ENSG00000158825	CDA
chr1	20633458	20633460	ENSG00000158828	PINK1
chr1	193121983	193121985	ENSG00000134371	CDC73
chr1	70205682	70205684	ENSG00000116754	SRSF11
chr1	70411218	70411220	ENSG00000116761	CTH
chr1	23691742	23691744	ENSG00000142676	RPL11
chr1	23743155	23743157	ENSG00000011007	ELOA
chr1	23778418	23778420	ENSG00000057757	PITHD1
chr1	23791145	23791147	ENSG00000011009	LYPLA2
chr1	196943738	196943740	ENSG00000080910	CFHR2
chr1	196977556	196977558	ENSG00000134389	CFHR5
chr1	159587826	159587828	ENSG00000132703	APCS
chr1	159780932	159780934	ENSG00000158716	DUSP23
chr1	159800511	159800513	ENSG00000181036	FCRL6
chr1	159826811	159826813	ENSG00000158714	SLAMF8
chr1	116372668	116372670	ENSG00000163399	ATP1A1
chr1	155063737	155063739	ENSG00000243364	EFNA4
chr1	155063748	155063750	ENSG00000251246	
chr1	155078837	155078839	ENSG00000143590	EFNA3
chr1	155127876	155127878	ENSG00000169242	EFNA1
chr1	155135344	155135346	ENSG00000169241	SLC50A1
