gene	distance	cell
ENSG00000162526	43	A549
ENSG00000162520	746	A549
ENSG00000162522	16890	A549
ENSG00000116497	464	A549
ENSG00000160097	3362	A549
ENSG00000163873	65726	A549
ENSG00000204084	6521	A549
ENSG00000204084	14971	A549
ENSG00000274944	19894	A549
ENSG00000168653	4121	A549
ENSG00000168653	1530	A549
ENSG00000183682	144352	A549
ENSG00000183682	13244	A549
ENSG00000116985	14029	A549
ENSG00000168389	21603	A549
ENSG00000066136	19829	A549
ENSG00000171793	11699	A549
ENSG00000171790	14296	A549
ENSG00000204060	38317	A549
ENSG00000127129	1945	A549
ENSG00000284895	12271	A549
ENSG00000177181	26168	A549
ENSG00000186409	69773	A549
ENSG00000117394	21322	A549
ENSG00000186973	7644	A549
ENSG00000142949	57079	A549
ENSG00000284989	24809	A549
ENSG00000066135	24809	A549
ENSG00000142945	8776	A549
ENSG00000173846	47	A549
ENSG00000188396	76	A549
ENSG00000117425	3334	A549
ENSG00000086015	165124	A549
ENSG00000086015	170410	A549
ENSG00000117461	60447	A549
ENSG00000117481	16441	A549
ENSG00000282881	19704	A549
ENSG00000142961	22682	A549
ENSG00000162366	10693	A549
ENSG00000186564	131792	A549
ENSG00000269113	264398	A549
ENSG00000117834	2826	A549
ENSG00000132122	83102	A549
ENSG00000162374	142251	A549
ENSG00000142700	181901	A549
ENSG00000117859	114827	A549
ENSG00000117859	116318	A549
ENSG00000078618	14994	A549
ENSG00000203985	14592	A549
ENSG00000173406	206619	A549
ENSG00000162600	323469	A549
ENSG00000162598	351397	A549
ENSG00000162599	211768	A549
ENSG00000162604	386332	A549
ENSG00000132849	160733	A549
ENSG00000185483	85873	A549
ENSG00000185483	204501	A549
ENSG00000158966	58609	A549
ENSG00000162434	28777	A549
ENSG00000118473	132035	A549
ENSG00000118473	70640	A549
ENSG00000198160	9403	A549
ENSG00000162594	7649	A549
ENSG00000203963	16338	A549
ENSG00000081985	59570	A549
ENSG00000142864	20275	A549
ENSG00000116717	109093	A549
ENSG00000116717	1226	A549
ENSG00000116717	39729	A549
ENSG00000116717	53370	A549
ENSG00000033122	512082	A549
ENSG00000172260	281095	A549
ENSG00000259030	37936	A549
ENSG00000162624	35928	A549
ENSG00000137968	238789	A549
ENSG00000117069	51707	A549
ENSG00000154027	127296	A549
ENSG00000137960	133614	A549
ENSG00000117114	1088387	A549
ENSG00000117114	568171	A549
ENSG00000117114	574418	A549
ENSG00000117114	920037	A549
ENSG00000137941	937290	A549
ENSG00000117151	11390	A549
ENSG00000055732	14006	A549
ENSG00000016602	32719	A549
ENSG00000183291	63786	A549
ENSG00000143013	153747	A549
ENSG00000065243	648160	A549
ENSG00000065243	138835	A549
ENSG00000065243	36530	A549
ENSG00000137947	89173	A549
ENSG00000154451	39667	A549
ENSG00000122482	34289	A549
ENSG00000162669	152587	A549
ENSG00000097046	29022	A549
ENSG00000097046	103922	A549
ENSG00000097046	106869	A549
ENSG00000069702	29364	A549
ENSG00000117500	42789	A549
ENSG00000117528	3533	A549
ENSG00000143036	16402	A549
ENSG00000122481	20858	A549
ENSG00000117569	387030	A549
ENSG00000117569	339976	A549
ENSG00000188641	249694	A549
ENSG00000162627	196260	A549
ENSG00000162627	144932	A549
ENSG00000162627	15638	A549
ENSG00000079335	85247	A549
ENSG00000170989	289907	A549
ENSG00000060718	191806	A549
ENSG00000198890	186228	A549
ENSG00000162631	187499	A549
ENSG00000162641	28444	A549
ENSG00000031698	15330	A549
ENSG00000031698	286	A549
ENSG00000221986	500	A549
ENSG00000065135	17616	A549
ENSG00000198758	56574	A549
ENSG00000184371	1142	A549
ENSG00000177272	15403	A549
ENSG00000064886	13456	A549
ENSG00000173947	17906	A549
ENSG00000143079	37197	A549
ENSG00000116489	26306	A549
ENSG00000155363	14207	A549
ENSG00000155366	2866	A549
ENSG00000184599	42393	A549
ENSG00000155380	61189	A549
ENSG00000155380	19909	A549
ENSG00000118655	11900	A549
ENSG00000197323	174457	A549
ENSG00000134259	108995	A549
ENSG00000134259	37420	A549
ENSG00000177551	1526	A549
ENSG00000177551	36404	A549
ENSG00000134247	30291	A549
ENSG00000116882	9623	A549
ENSG00000143067	42873	A549
ENSG00000265808	29484	A549
ENSG00000171943	96477	A549
ENSG00000171943	358898	A549
ENSG00000273213	440143	A549
ENSG00000273213	430922	A549
ENSG00000273213	176038	A549
ENSG00000263513	603	A549
ENSG00000271567	82433	A549
ENSG00000271567	38895	A549
ENSG00000279782	46106	A549
ENSG00000279782	40793	A549
ENSG00000279782	31924	A549
ENSG00000279782	201068	A549
ENSG00000196369	96882	A549
ENSG00000256374	38925	A549
ENSG00000162825	59896	A549
ENSG00000131788	7538	A549
ENSG00000198483	6065	A549
ENSG00000168509	30218	A549
ENSG00000264343	65702	A549
ENSG00000264343	81193	A549
ENSG00000270339	25148	A549
ENSG00000270339	31919	A549
ENSG00000270339	42640	A549
ENSG00000270339	65063	A549
ENSG00000270339	231626	A549
ENSG00000268043	162775	A549
ENSG00000131791	1611	A549
ENSG00000121634	60031	A549
ENSG00000263956	87918	A549
ENSG00000263956	152939	A549
ENSG00000236334	148479	A549
ENSG00000236334	99066	A549
ENSG00000236334	39224	A549
ENSG00000286019	15354	A549
ENSG00000177144	13625	A549
ENSG00000263464	23733	A549
ENSG00000184270	9875	A549
ENSG00000163131	17768	A549
ENSG00000143398	2396	A549
ENSG00000143442	16948	A549
ENSG00000159445	9	A549
ENSG00000197747	3133	A549
ENSG00000163191	10989	A549
ENSG00000215853	8412	A549
ENSG00000186207	32806	A549
ENSG00000163207	2863	A549
ENSG00000197956	9357	A549
ENSG00000196754	681	A549
ENSG00000196754	1219	A549
ENSG00000160679	216	A549
ENSG00000143570	26	A549
ENSG00000160712	13481	A549
ENSG00000143603	56286	A549
ENSG00000143603	7543	A549
ENSG00000173207	1715	A549
ENSG00000160685	1214	A549
ENSG00000160685	1155	A549
ENSG00000163462	271	A549
ENSG00000185499	592	A549
ENSG00000177628	3419	A549
ENSG00000116539	120655	A549
ENSG00000116539	15915	A549
ENSG00000116539	303	A549
ENSG00000160789	31952	A549
ENSG00000196189	23164	A549
ENSG00000116604	21602	A549
ENSG00000132688	16989	A549
ENSG00000132688	15703	A549
ENSG00000143303	2704	A549
ENSG00000143294	3208	A549
ENSG00000253831	25297	A549
ENSG00000163564	14209	A549
ENSG00000162738	3523	A549
ENSG00000162739	15732	A549
ENSG00000186517	4733	A549
ENSG00000188931	22373	A549
ENSG00000188931	31575	A549
ENSG00000188931	64190	A549
ENSG00000143226	62060	A549
ENSG00000143226	57924	A549
ENSG00000143226	54516	A549
ENSG00000143226	50518	A549
ENSG00000143226	43239	A549
ENSG00000143226	39815	A549
ENSG00000143226	35714	A549
ENSG00000143226	34974	A549
ENSG00000132185	14716	A549
ENSG00000162746	5483	A549
ENSG00000162745	16701	A549
ENSG00000143228	55169	A549
ENSG00000143228	557476	A549
ENSG00000143179	30792	A549
ENSG00000188859	179894	A549
ENSG00000143162	19251	A549
ENSG00000197965	6429	A549
ENSG00000143158	49951	A549
ENSG00000143153	113390	A549
ENSG00000143156	12196	A549
ENSG00000198734	1582	A549
ENSG00000117533	12409	A549
ENSG00000197959	43041	A549
ENSG00000197959	61041	A549
ENSG00000197959	230047	A549
ENSG00000135845	56101	A549
ENSG00000135845	38420	A549
ENSG00000180999	2602	A549
ENSG00000094975	55572	A549
ENSG00000117586	90278	A549
ENSG00000232113	1875	A549
ENSG00000232113	7088	A549
ENSG00000285777	12372	A549
ENSG00000185278	6937	A549
ENSG00000203737	150069	A549
ENSG00000116147	212409	A549
ENSG00000116147	70185	A549
ENSG00000120341	114719	A549
ENSG00000075391	176721	A549
ENSG00000075391	184023	A549
ENSG00000116199	13222	A549
ENSG00000162779	34223	A549
ENSG00000143337	477	A549
ENSG00000143324	128936	A549
ENSG00000143324	115410	A549
ENSG00000143324	109609	A549
ENSG00000143324	46137	A549
ENSG00000135823	58	A549
ENSG00000162783	10699	A549
ENSG00000162783	23863	A549
ENSG00000162783	46130	A549
ENSG00000198216	203942	A549
ENSG00000179930	293191	A549
ENSG00000135824	28819	A549
ENSG00000135838	27389	A549
ENSG00000157060	9680	A549
ENSG00000116698	7974	A549
ENSG00000121481	52892	A549
ENSG00000143341	96958	A549
ENSG00000143341	173992	A549
ENSG00000157181	71	A549
ENSG00000116703	39569	A549
ENSG00000073756	59016	A549
ENSG00000116711	579100	A549
ENSG00000116711	801563	A549
ENSG00000116711	809632	A549
ENSG00000162670	682812	A549
ENSG00000150681	448077	A549
ENSG00000150681	256437	A549
ENSG00000116741	92391	A549
ENSG00000162630	1696602	A549
ENSG00000162687	444256	A549
ENSG00000162687	111035	A549
ENSG00000151414	189231	A549
ENSG00000116833	78268	A549
ENSG00000162702	182819	A549
ENSG00000162702	114582	A549
ENSG00000162702	89789	A549
ENSG00000162702	32784	A549
ENSG00000118197	18	A549
ENSG00000170128	29896	A549
ENSG00000159173	14070	A549
ENSG00000174307	6862	A549
ENSG00000174307	11496	A549
ENSG00000159176	13591	A549
ENSG00000163435	9691	A549
ENSG00000163435	10914	A549
ENSG00000163435	48543	A549
ENSG00000133067	43235	A549
ENSG00000077157	5498	A549
ENSG00000117153	116	A549
ENSG00000159348	8566	A549
ENSG00000163444	4191	A549
ENSG00000133063	20987	A549
ENSG00000133063	19543	A549
ENSG00000159388	1659	A549
ENSG00000159388	847	A549
ENSG00000198625	6554	A549
ENSG00000198625	8226	A549
ENSG00000133059	41	A549
ENSG00000163545	36801	A549
ENSG00000163545	23004	A549
ENSG00000163545	20090	A549
ENSG00000174514	23070	A549
ENSG00000069275	600	A549
ENSG00000263961	10038	A549
ENSG00000263961	22937	A549
ENSG00000266028	96522	A549
ENSG00000143486	15150	A549
ENSG00000143479	1477	A549
ENSG00000143479	11382	A549
ENSG00000162891	38642	A549
ENSG00000162897	8169	A549
ENSG00000196352	80638	A549
ENSG00000117335	44184	A549
ENSG00000117335	71842	A549
ENSG00000076356	30273	A549
ENSG00000008118	171635	A549
ENSG00000054392	6917	A549
ENSG00000054392	82710	A549
ENSG00000117625	632	A549
ENSG00000198570	3518	A549
ENSG00000170385	1279	A549
ENSG00000143493	90390	A549
ENSG00000162772	62205	A549
ENSG00000162771	27503	A549
ENSG00000162771	15709	A549
ENSG00000152104	111507	A549
ENSG00000082482	3676	A549
ENSG00000092969	35283	A549
ENSG00000092969	255573	A549
ENSG00000092969	288847	A549
ENSG00000215817	26817	A549
ENSG00000118873	63929	A549
ENSG00000136630	254892	A549
ENSG00000136630	293168	A549
ENSG00000143507	54970	A549
ENSG00000143507	242536	A549
ENSG00000154309	8567	A549
ENSG00000187554	94821	A549
ENSG00000162909	6218	A549
ENSG00000143815	240074	A549
ENSG00000143819	7474	A549
ENSG00000143819	10549	A549
ENSG00000143819	16250	A549
ENSG00000183814	5739	A549
ENSG00000143740	4198	A549
ENSG00000154370	65872	A549
ENSG00000168159	554	A549
ENSG00000116574	113928	A549
ENSG00000116574	102795	A549
ENSG00000116574	100543	A549
ENSG00000116574	96148	A549
ENSG00000168118	232660	A549
ENSG00000143632	28451	A549
ENSG00000143641	26076	A549
ENSG00000143641	47255	A549
ENSG00000135775	14241	A549
ENSG00000119283	9478	A549
ENSG00000116991	430335	A549
ENSG00000116991	69140	A549
ENSG00000212916	85749	A549
ENSG00000212916	56004	A549
ENSG00000135778	2278	A549
ENSG00000135749	115397	A549
ENSG00000135750	50644	A549
ENSG00000135750	94280	A549
ENSG00000168275	19712	A549
ENSG00000168275	39364	A549
ENSG00000168264	8774	A549
ENSG00000168264	114620	A549
ENSG00000168264	126899	A549
ENSG00000173726	171116	A549
ENSG00000173726	131301	A549
ENSG00000284770	18757	A549
ENSG00000168243	74299	A549
ENSG00000168243	79425	A549
ENSG00000143669	116619	A549
ENSG00000143669	115949	A549
ENSG00000143669	66156	A549
ENSG00000270188	12171	A549
ENSG00000270188	374740	A549
ENSG00000155816	307280	A549
ENSG00000155816	271519	A549
ENSG00000155816	52092	A549
ENSG00000180875	225513	A549
ENSG00000180875	324641	A549
ENSG00000162843	36481	A549
ENSG00000174371	48790	A549
ENSG00000197769	63649	A549
ENSG00000197769	200995	A549
ENSG00000180287	223248	A549
ENSG00000180287	81467	A549
ENSG00000180287	311391	A549
ENSG00000054282	198324	A549
ENSG00000173728	112653	A549
ENSG00000284188	4216	A549
ENSG00000203667	503	A549
ENSG00000162849	12234	A549
ENSG00000185420	298810	A549
ENSG00000185420	149015	A549
ENSG00000185420	212103	A549
ENSG00000162852	40	A549
ENSG00000153207	49700	A549
ENSG00000169224	7355	A549
ENSG00000177489	7407	A549
ENSG00000185220	28026	A549
ENSG00000261456	25000	A549
ENSG00000151240	210887	A549
ENSG00000185736	12188	A549
ENSG00000185736	380180	A549
ENSG00000107959	33643	A549
ENSG00000067082	310540	A549
ENSG00000187134	51710	A549
ENSG00000187134	46826	A549
ENSG00000187134	44646	A549
ENSG00000196139	14844	A549
ENSG00000196139	70491	A549
ENSG00000057608	19259	A549
ENSG00000065675	59817	A549
ENSG00000065675	411150	A549
ENSG00000198879	106697	A549
ENSG00000048740	972648	A549
ENSG00000048740	273282	A549
ENSG00000134463	15651	A549
ENSG00000165609	1660	A549
ENSG00000183049	256195	A549
ENSG00000183049	281505	A549
ENSG00000151468	301520	A549
ENSG00000151468	297119	A549
ENSG00000151468	270045	A549
ENSG00000123240	29088	A549
ENSG00000282246	62814	A549
ENSG00000282246	148305	A549
ENSG00000282246	260909	A549
ENSG00000151474	338551	A549
ENSG00000185267	94654	A549
ENSG00000152457	211	A549
ENSG00000152465	14130	A549
ENSG00000148481	82723	A549
ENSG00000165983	239621	A549
ENSG00000026025	2111	A549
ENSG00000026025	18870	A549
ENSG00000165996	106497	A549
ENSG00000165997	149194	A549
ENSG00000078403	217972	A549
ENSG00000078403	96442	A549
ENSG00000078403	28366	A549
ENSG00000223601	19397	A549
ENSG00000107863	467226	A549
ENSG00000107863	434306	A549
ENSG00000107863	199391	A549
ENSG00000107863	32553	A549
ENSG00000077420	14203	A549
ENSG00000107897	2291	A549
ENSG00000150054	45565	A549
ENSG00000095739	64998	A549
ENSG00000095739	292248	A549
ENSG00000120563	196327	A549
ENSG00000120563	155215	A549
ENSG00000197321	158928	A549
ENSG00000197321	100248	A549
ENSG00000165757	108752	A549
ENSG00000107951	118697	A549
ENSG00000107951	41067	A549
ENSG00000107968	373	A549
ENSG00000183621	160429	A549
ENSG00000148516	23623	A549
ENSG00000165322	20322	A549
ENSG00000170759	14146	A549
ENSG00000150093	22272	A549
ENSG00000150093	51955	A549
ENSG00000150093	145755	A549
ENSG00000099250	369469	A549
ENSG00000148498	652925	A549
ENSG00000108094	19166	A549
ENSG00000177283	178907	A549
ENSG00000148513	158284	A549
ENSG00000189180	2332	A549
ENSG00000283930	202972	A549
ENSG00000283930	262286	A549
ENSG00000196693	43541	A549
ENSG00000196693	46179	A549
ENSG00000169826	21189	A549
ENSG00000169813	12901	A549
ENSG00000012779	63146	A549
ENSG00000012779	63884	A549
ENSG00000165406	18299	A549
ENSG00000264230	2109	A549
ENSG00000204175	31760	A549
ENSG00000204175	30367	A549
ENSG00000204175	13853	A549
ENSG00000265763	11855	A549
ENSG00000265190	2264	A549
ENSG00000277758	110964	A549
ENSG00000276430	11500	A549
ENSG00000276430	7796	A549
ENSG00000107643	54695	A549
ENSG00000107643	110743	A549
ENSG00000128805	128283	A549
ENSG00000128815	42199	A549
ENSG00000165383	34460	A549
ENSG00000070748	32746	A549
ENSG00000188611	42364	A549
ENSG00000204147	480	A549
ENSG00000107984	129116	A549
ENSG00000165471	29428	A549
ENSG00000165471	847937	A549
ENSG00000151151	643412	A549
ENSG00000151151	103290	A549
ENSG00000108064	78	A549
ENSG00000122870	44036	A549
ENSG00000122870	16604	A549
ENSG00000148541	76310	A549
ENSG00000148541	24951	A549
ENSG00000151150	38714	A549
ENSG00000151150	98196	A549
ENSG00000151150	104968	A549
ENSG00000170312	17165	A549
ENSG00000150347	12844	A549
ENSG00000138311	37391	A549
ENSG00000285837	37391	A549
ENSG00000165476	108608	A549
ENSG00000165476	109159	A549
ENSG00000198739	1506432	A549
ENSG00000198739	1310249	A549
ENSG00000198739	354500	A549
ENSG00000138336	39949	A549
ENSG00000138336	48405	A549
ENSG00000122862	26374	A549
ENSG00000156515	68016	A549
ENSG00000075073	68157	A549
ENSG00000197467	67044	A549
ENSG00000172731	5396	A549
ENSG00000197746	37884	A549
ENSG00000122863	33243	A549
ENSG00000166295	35514	A549
ENSG00000166295	4390	A549
ENSG00000168209	26797	A549
ENSG00000168209	2940	A549
ENSG00000168209	24180	A549
ENSG00000156026	50599	A549
ENSG00000138315	4119	A549
ENSG00000176986	13647	A549
ENSG00000148660	13005	A549
ENSG00000188716	6169	A549
ENSG00000156671	42438	A549
ENSG00000165644	1314	A549
ENSG00000165655	399	A549
ENSG00000156113	57631	A549
ENSG00000151208	169500	A549
ENSG00000151208	69161	A549
ENSG00000108175	30877	A549
ENSG00000108175	58316	A549
ENSG00000108179	86328	A549
ENSG00000133678	57996	A549
ENSG00000122378	21789	A549
ENSG00000108219	16773	A549
ENSG00000108219	34438	A549
ENSG00000178217	81152	A549
ENSG00000178217	209554	A549
ENSG00000178217	267403	A549
ENSG00000178217	640002	A549
ENSG00000185737	567533	A549
ENSG00000185737	430536	A549
ENSG00000185737	817349	A549
ENSG00000165678	155514	A549
ENSG00000107771	196324	A549
ENSG00000182771	818325	A549
ENSG00000182771	145864	A549
ENSG00000107779	18500	A549
ENSG00000148672	18854	A549
ENSG00000214562	15005	A549
ENSG00000138138	20	A549
ENSG00000227268	19930	A549
ENSG00000227268	896	A549
ENSG00000227268	131	A549
ENSG00000184719	323304	A549
ENSG00000184719	167942	A549
ENSG00000026103	447	A549
ENSG00000138135	34443	A549
ENSG00000152782	1319	A549
ENSG00000138182	349872	A549
ENSG00000148677	56153	A549
ENSG00000180628	46625	A549
ENSG00000165338	57570	A549
ENSG00000165338	209	A549
ENSG00000119938	106448	A549
ENSG00000119938	2072	A549
ENSG00000198060	1	A549
ENSG00000138160	246	A549
ENSG00000173145	4780	A549
ENSG00000119969	84657	A549
ENSG00000165841	27586	A549
ENSG00000138109	86283	A549
ENSG00000138109	49490	A549
ENSG00000107438	48002	A549
ENSG00000177853	39307	A549
ENSG00000177853	167	A549
ENSG00000196233	24168	A549
ENSG00000269891	18505	A549
ENSG00000165887	22362	A549
ENSG00000165887	215	A549
ENSG00000155252	10873	A549
ENSG00000155254	11058	A549
ENSG00000138131	2381	A549
ENSG00000119943	3268	A549
ENSG00000107521	135400	A549
ENSG00000172987	226350	A549
ENSG00000285932	297	A549
ENSG00000023839	421	A549
ENSG00000120054	37956	A549
ENSG00000075891	78731	A549
ENSG00000119906	73979	A549
ENSG00000107816	13101	A549
ENSG00000138136	7422	A549
ENSG00000120029	444	A549
ENSG00000198728	6883	A549
ENSG00000059915	1291	A549
ENSG00000107882	53888	A549
ENSG00000171206	1946	A549
ENSG00000156398	5779	A549
ENSG00000148842	123925	A549
ENSG00000235376	130665	A549
ENSG00000156395	167841	A549
ENSG00000108018	420873	A549
ENSG00000108018	875011	A549
ENSG00000148700	10581	A549
ENSG00000203867	11224	A549
ENSG00000150594	19487	A549
ENSG00000151532	138116	A549
ENSG00000148737	233577	A549
ENSG00000148737	225420	A549
ENSG00000148737	53	A549
ENSG00000148737	117266	A549
ENSG00000165806	473	A549
ENSG00000196865	120	A549
ENSG00000043591	18719	A549
ENSG00000151553	142682	A549
ENSG00000165863	35077	A549
ENSG00000165868	5502	A549
ENSG00000165868	35085	A549
ENSG00000186795	19228	A549
ENSG00000170370	14205	A549
ENSG00000165669	113345	A549
ENSG00000151893	28610	A549
ENSG00000188613	32784	A549
ENSG00000188613	25487	A549
ENSG00000198873	91008	A549
ENSG00000198873	117608	A549
ENSG00000203805	47122	A549
ENSG00000066468	12517	A549
ENSG00000107672	3806	A549
ENSG00000138162	81145	A549
ENSG00000138152	39370	A549
ENSG00000179988	3032	A549
ENSG00000154478	220489	A549
ENSG00000154478	127103	A549
ENSG00000182022	23274	A549
ENSG00000182022	35503	A549
ENSG00000019995	98912	A549
ENSG00000175029	72515	A549
ENSG00000175018	229723	A549
ENSG00000203780	70853	A549
ENSG00000150760	128166	A549
ENSG00000214285	25485	A549
ENSG00000180745	29198	A549
ENSG00000132334	32632	A549
ENSG00000148773	394290	A549
ENSG00000108001	245115	A549
ENSG00000108010	253482	A549
ENSG00000176769	165128	A549
ENSG00000175470	122938	A549
ENSG00000175470	24888	A549
ENSG00000188385	20018	A549
ENSG00000171813	27257	A549
ENSG00000148826	112486	A549
ENSG00000148826	20676	A549
ENSG00000171794	4341	A549
ENSG00000151650	6918	A549
ENSG00000225899	33404	A549
ENSG00000225899	48147	A549
ENSG00000225899	149079	A549
ENSG00000142102	4861	A549
ENSG00000174915	7839	A549
ENSG00000177042	10743	A549
ENSG00000177156	19287	A549
ENSG00000198788	925	A549
ENSG00000215182	6830	A549
ENSG00000182208	25788	A549
ENSG00000205869	8055	A549
ENSG00000185940	25549	A549
ENSG00000149043	2051	A549
ENSG00000180176	44826	A549
ENSG00000184350	18045	A549
ENSG00000184350	63824	A549
ENSG00000005801	27192	A549
ENSG00000005801	57248	A549
ENSG00000167311	25476	A549
ENSG00000181963	4762	A549
ENSG00000181963	14819	A549
ENSG00000176900	14451	A549
ENSG00000132274	393	A549
ENSG00000183269	8030	A549
ENSG00000132259	239	A549
ENSG00000175390	16634	A549
ENSG00000166405	29939	A549
ENSG00000166407	65083	A549
ENSG00000166441	6149	A549
ENSG00000175356	47132	A549
ENSG00000175356	53754	A549
ENSG00000166478	155	A549
ENSG00000166478	15006	A549
ENSG00000166483	36168	A549
ENSG00000133789	138200	A549
ENSG00000133812	249073	A549
ENSG00000148926	55	A549
ENSG00000133805	333	A549
ENSG00000255823	8555	A549
ENSG00000110321	679	A549
ENSG00000236287	1885	A549
ENSG00000236287	43266	A549
ENSG00000110328	95289	A549
ENSG00000133816	27597	A549
ENSG00000133816	26650	A549
ENSG00000133816	13526	A549
ENSG00000197702	89695	A549
ENSG00000187079	134507	A549
ENSG00000189431	64104	A549
ENSG00000148925	666	A549
ENSG00000197601	1597	A549
ENSG00000129083	76540	A549
ENSG00000110696	19651	A549
ENSG00000166689	25309	A549
ENSG00000110700	36965	A549
ENSG00000188211	17911	A549
ENSG00000187486	9836	A549
ENSG00000129158	20715	A549
ENSG00000170255	34466	A549
ENSG00000177054	132	A549
ENSG00000166833	182548	A549
ENSG00000109851	123920	A549
ENSG00000185238	96168	A549
ENSG00000091664	12811	A549
ENSG00000148943	9118	A549
ENSG00000148943	17437	A549
ENSG00000176697	14364	A549
ENSG00000169519	1861	A549
ENSG00000169519	31528	A549
ENSG00000169519	32362	A549
ENSG00000169519	182819	A549
ENSG00000169519	412782	A549
ENSG00000169519	740966	A549
ENSG00000131808	32745	A549
ENSG00000066382	84769	A549
ENSG00000049449	9554	A549
ENSG00000184937	126640	A549
ENSG00000176148	6317	A549
ENSG00000176148	22010	A549
ENSG00000176102	75134	A549
ENSG00000205177	44181	A549
ENSG00000166016	110683	A549
ENSG00000166016	156	A549
ENSG00000135373	20194	A549
ENSG00000135373	19225	A549
ENSG00000135373	64178	A549
ENSG00000026508	100810	A549
ENSG00000179241	73892	A549
ENSG00000148948	1698775	A549
ENSG00000148948	1192099	A549
ENSG00000166181	539779	A549
ENSG00000166181	184329	A549
ENSG00000149084	37426	A549
ENSG00000149084	36453	A549
ENSG00000149084	42	A549
ENSG00000149084	406	A549
ENSG00000187479	26329	A549
ENSG00000110455	71	A549
ENSG00000052850	74328	A549
ENSG00000052850	7879	A549
ENSG00000181830	67215	A549
ENSG00000121680	127	A549
ENSG00000135365	16	A549
ENSG00000175224	40019	A549
ENSG00000175216	19425	A549
ENSG00000149179	50570	A549
ENSG00000149182	32	A549
ENSG00000134574	311	A549
ENSG00000165916	6	A549
ENSG00000196666	3337	A549
ENSG00000181273	78489	A549
ENSG00000134817	26415	A549
ENSG00000198561	35106	A549
ENSG00000242689	35767	A549
ENSG00000156689	50277	A549
ENSG00000110042	1408	A549
ENSG00000172742	38908	A549
ENSG00000110048	49307	A549
ENSG00000110048	41866	A549
ENSG00000110048	34801	A549
ENSG00000214787	17614	A549
ENSG00000204979	48102	A549
ENSG00000167992	23895	A549
ENSG00000167992	409	A549
ENSG00000167992	5538	A549
ENSG00000134780	19495	A549
ENSG00000124920	3923	A549
ENSG00000124920	5750	A549
ENSG00000149485	2951	A549
ENSG00000149485	10968	A549
ENSG00000167996	4168	A549
ENSG00000167996	13555	A549
ENSG00000167996	31300	A549
ENSG00000149503	27286	A549
ENSG00000149503	24283	A549
ENSG00000124939	14110	A549
